Name,AdaBoost,Decision Tree,Gaussian NB,Gaussian Process,Logitic Regression,MLP,Random Forest,ADEN,RandomSelection,Top Initial Performance
EthanolLevel,0.601,0.568,0.544,0.511,0.634,0.591,0.617,0.617,0.606,0.511
ProximalPhalanxTW,0.651,0.586,0.689,0.671,0.667,0.664,0.704,0.674,0.645,0.664
TwoPatterns,0.885,0.874,0.675,0.923,0.892,0.89,0.988,0.675,0.92,0.892
FordB,0.512,0.532,0.511,0.604,0.496,0.683,0.641,0.683,0.605,0.604
EOGHorizontalSignal,0.605,0.671,0.683,0.5,0.51,0.563,0.697,0.685,0.635,0.671
MiddlePhalanxTW,0.602,0.591,0.69,0.585,0.574,0.593,0.619,0.69,0.617,0.585
FordA,0.501,0.559,0.493,0.666,0.49,0.75,0.682,0.699,0.628,0.666
DistalPhalanxOutlineCorrect,0.724,0.718,0.658,0.718,0.643,0.728,0.722,0.705,0.693,0.724
PhalangesOutlinesCorrect,0.635,0.613,0.541,0.721,0.558,0.629,0.725,0.714,0.595,0.725
MedicalImages,0.687,0.661,0.566,0.763,0.632,0.73,0.734,0.743,0.682,0.763
electricity-normalized,0.743,0.711,0.708,0.701,0.672,0.755,0.767,0.769,0.721,0.767
ECG200,0.724,0.729,0.748,0.758,0.737,0.766,0.769,0.777,0.772,0.724
fri-c0-1000-50,0.788,0.731,0.778,0.616,0.754,0.731,0.785,0.777,0.783,0.788
CricketY,0.653,0.655,0.575,0.797,0.51,0.736,0.751,0.797,0.66,0.751
ProximalPhalanxOutlineCorrect,0.715,0.699,0.593,0.797,0.685,0.633,0.751,0.799,0.667,0.797
UWaveGestureLibraryZ,0.69,0.708,0.664,0.806,0.677,0.769,0.793,0.8,0.694,0.806
UWaveGestureLibraryY,0.7,0.7,0.645,0.805,0.623,0.747,0.79,0.805,0.692,0.805
DistalPhalanxTW,0.698,0.693,0.789,0.752,0.755,0.733,0.794,0.806,0.804,0.789
MelbournePedestrian,0.861,0.872,0.73,0.5,0.74,0.826,0.907,0.839,0.754,0.74
phoneme,0.773,0.796,0.742,0.838,0.679,0.815,0.846,0.847,0.807,0.838
wind,0.848,0.768,0.798,0.837,0.846,0.821,0.847,0.85,0.838,0.798
CricketZ,0.732,0.712,0.704,0.851,0.664,0.812,0.824,0.854,0.752,0.664
fri-c0-1000-10,0.853,0.717,0.841,0.844,0.826,0.849,0.817,0.855,0.824,0.826
OSULeaf,0.764,0.737,0.685,0.876,0.73,0.86,0.833,0.856,0.786,0.876
HandOutlines,0.812,0.788,0.794,0.858,0.83,0.825,0.844,0.858,0.833,0.825
CricketX,0.776,0.747,0.709,0.857,0.72,0.833,0.821,0.86,0.79,0.857
UWaveGestureLibraryX,0.802,0.782,0.767,0.872,0.797,0.847,0.863,0.868,0.819,0.872
InsectWingbeatSound,0.819,0.804,0.795,0.88,0.806,0.869,0.873,0.88,0.844,0.873
Yoga,0.798,0.797,0.567,0.937,0.693,0.908,0.899,0.929,0.755,0.937
FacesUCR,0.879,0.812,0.746,0.934,0.8,0.932,0.928,0.935,0.871,0.928
SonyAIBORobotSurface2,0.93,0.857,0.806,0.958,0.921,0.944,0.935,0.944,0.88,0.921
SwedishLeaf,0.897,0.869,0.916,0.945,0.925,0.925,0.947,0.944,0.927,0.947
Strawberry,0.923,0.894,0.844,0.958,0.939,0.949,0.936,0.949,0.887,0.894
MoteStrain,0.934,0.904,0.887,0.924,0.884,0.921,0.956,0.952,0.918,0.956
Symbols,0.936,0.892,0.792,0.941,0.889,0.959,0.95,0.96,0.954,0.936
SyntheticControl,0.92,0.956,0.904,0.954,0.958,0.951,0.942,0.96,0.947,0.951
ItalyPowerDemand,0.969,0.957,0.91,0.968,0.971,0.967,0.968,0.968,0.949,0.968
Chinatown,0.937,0.893,0.979,0.5,0.927,0.704,0.983,0.983,0.742,0.983
Mallat,0.974,0.936,0.735,0.98,0.935,0.982,0.984,0.985,0.953,0.98
ECGFiveDays,0.972,0.906,0.884,0.989,0.986,0.986,0.974,0.986,0.964,0.986
TwoLeadECG,0.957,0.911,0.777,0.989,0.984,0.99,0.97,0.99,0.92,0.989
DiatomSizeReduction,0.991,0.983,1,0.991,0.987,0.981,0.991,0.991,0.987,1
wafer,0.975,0.948,0.692,0.996,0.756,0.993,0.985,0.995,0.828,0.993
PowerCons,0.978,0.981,0.91,0.996,0.996,0.9,0.995,0.997,0.987,0.981
FreezerRegularTrain,0.986,0.967,0.783,0.997,0.996,0.993,0.99,0.998,0.993,0.997
StarLightCurves,0.999,0.997,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999
